Intersection,All_Motorized_Vehicles_AADT_24_,Truck_Percent,Pedestrians_Not_Factored,Bicycles_Not_Factored,Date,X,Y,Lat,Long,ObjectId
IRIS ST @ WOODROFFE AVE,48966,0.0504,199,37,2022/11/29 00:00:00+00,362282.6921,5024441.52,45.357562,-75.766307,101
QUEEN ELIZABETH PL @ WILTON CRES,5973,0.0134,196,26,2022/12/01 00:00:00+00,368549.7072,5028949.545,45.397582,-75.685742,102
FAIRLEA CRES @ HEATHERINGTON RD N,7171,0.0404,189,8,2022/12/01 00:00:00+00,371809.7233,5026692.527,45.37697,-75.644414,103
JOCKVALE RD/RIDEAU VALLEY DR @ PRINCE OF WALES,32122,0.0306,2,3,2022/12/14 00:00:00+00,366709.6969,5012195.397,45.246996,-75.711336,104
PRESTONE DR @ RIVER RIDGE CRES W/KENNEDY LANE,4159,0.0451,91,4,2022/12/07 00:00:00+00,382628.7464,5038238.592,45.479734,-75.50447,105
BAY ST @ SOMERSET ST,8883,0,1538,136,2022/12/07 00:00:00+00,367244.6994,5030644.568,45.412951,-75.702194,106
MONTCREST DR @ WATTERS RD,11243,0.0343,184,7,2022/12/07 00:00:00+00,384864.6925,5038588.895,45.482633,-75.475817,107
DUNNING RD @ SARSFIELD RD,1533,0.1437,0,0,2022/12/07 00:00:00+00,395969.8664,5028563.488,45.391075,-75.335645,108
SPRINGBROOK DR @ TRAILWAY CIRC,3762,0.0271,50,1,2022/12/06 00:00:00+00,350632.5931,5014590.429,45.269778,-75.915908,109
GILLESPIE CRES/RICH LITTLE DR/ @ UPLANDS DR,4244,0.0541,115,3,2022/12/07 00:00:00+00,368628.7261,5023194.509,45.345793,-75.685476,110
CLAYMOR AVE @ FALAISE RD,1209,0.0437,42,4,2022/12/07 00:00:00+00,367264.7098,5024831.527,45.360645,-75.702674,111
DEANCOURT CRES N @ PRINCESS LOUISE DR,3876,0.0366,98,11,2022/12/07 00:00:00+00,384081.7538,5038339.581,45.480479,-75.485871,112
CLEARCREST CRES S @ PRINCESS LOUISE DR,3523,0.0372,87,2,2022/12/07 00:00:00+00,384128.7528,5038414.579,45.481148,-75.485258,113
BANK ST @ HUNT CLUB RD,54014,0.04,439,8,2022/12/14 00:00:00+00,371608.7365,5024096.506,45.353631,-75.647331,114
DONNELLY DR @ GILROY RD,1745,0.0418,0,0,2022/12/15 00:00:00+00,358061.6808,4981006.256,44.96705,-75.824811,115
ASSALY RD @ REGINA ST,1863,0.0356,94,7,2022/12/20 00:00:00+00,360661.683,5025598.531,45.368104,-75.786864,116
RICHMOND RD @ WEST HUNT CLUB RD,27844,0.0245,0,0,2022/12/15 00:00:00+00,357145.6473,5018152.462,45.301375,-75.832535,117
CALDWELL AVE @ MEDFORD ST,2467,0.0718,340,49,2022/06/08 00:00:00+00,364700.7033,5026134.533,45.372593,-75.735241,118
FIELDING DR @ RANKIN ST,1183,0.0928,97,64,2022/06/08 00:00:00+00,369148.7248,5024909.515,45.361176,-75.678618,119
HAIG DR @ HAMLET RD,3041,0.0269,256,114,2022/06/14 00:00:00+00,372568.7254,5029211.55,45.399562,-75.634378,120
AIRPORT PKWY/WALKLEY RD NB OFF RAMP @ WALKLEY RD,18891,0.0308,137,25,2022/06/16 00:00:00+00,370077.7248,5025791.53,45.369026,-75.666645,121
WALKLEY RD @ AIRPORT PKWY SB RAMP,17775,0.0224,47,26,2022/06/16 00:00:00+00,369836.7171,5025651.526,45.367789,-75.66974,122
AVONCOURT WAY @ WALKLEY RD,15282,0.026,52,29,2022/06/16 00:00:00+00,369605.7147,5025515.533,45.366587,-75.672706,123
MCCARTHY RD @ SOUTHMORE DR,7659,0.0327,65,45,2022/06/16 00:00:00+00,369449.7225,5024837.528,45.360501,-75.674786,124
THORNDALE DR @ WALKLEY RD,14713,0.0257,27,17,2022/06/16 00:00:00+00,369465.7242,5025431.525,45.365844,-75.674504,125
MCCARTHY RD @ WALKLEY RD,18210,0.0261,32,23,2022/06/16 00:00:00+00,369249.7173,5025300.522,45.364685,-75.677278,126
BEVERLY ST @ STITTSVILLE MAIN ST,18267,0.0316,343,33,2022/06/21 00:00:00+00,349843.5836,5013825.425,45.262945,-75.926032,127
MAXIME ST @ CYRVILLE RD,9713,0.038,76,32,2022/07/05 00:00:00+00,374826.7357,5031173.56,45.416993,-75.605261,128
ANDERSON RD @ RIDGE RD,6127,0.0249,0,6,2022/07/05 00:00:00+00,379029.7574,5028508.532,45.392581,-75.551967,129
DES EPINETTES AVE @ PRESTWICK DR,7711,0.0251,149,57,2022/07/05 00:00:00+00,383334.7613,5036664.57,45.465493,-75.495692,130
AQUAVIEW DR/LAKERIDGE DR @ BRIAN COBURN BLVD,11667,0.024,136,79,2022/07/05 00:00:00+00,384776.3381,5035179.102,45.451965,-75.477502,131
MILTON RD @ NAVAN RD,8341,0.0475,0,1,2022/07/05 00:00:00+00,387268.7888,5031812.521,45.421386,-75.446205,132
PORTOBELLO BLVD @ VALIN ST,9507,0.0274,103,40,2022/07/05 00:00:00+00,385350.766,5037697.569,45.474557,-75.469746,133
DALY AVE @ KING EDWARD AVE,14423,0.0276,702,62,2022/07/05 00:00:00+00,368591.7076,5032273.586,45.427487,-75.684775,134
PRESLAND RD @ VANIER PKWY,39452,0.0169,160,77,2022/07/05 00:00:00+00,370433.1219,5031751.637,45.42262,-75.661315,135
DONALD B. MUNRO DR/OLD CARP RD W @ MARCH RD,7623,0.0854,2,38,2022/07/26 00:00:00+00,343091.5592,5022592.501,45.342235,-76.011389,136
FLEWELLYN RD @ SHEA RD,5998,0.0503,0,9,2022/07/12 00:00:00+00,352993.6002,5012174.405,45.24788,-75.886055,137
LEGGET DR @ TERRY FOX DR,6508,0.0539,141,167,2022/07/26 00:00:00+00,350176.6178,5023444.493,45.349478,-75.920908,138
MARCH VALLEY RD @ TERRY FOX DR,7144,0.0174,172,245,2022/07/13 00:00:00+00,350754.5692,5023784.006,45.352496,-75.913501,139
MICHAEL COWPLAND DR @ TERENCE MATTHEWS CRES E,9066,0.0188,158,52,2022/07/13 00:00:00+00,354231.6151,5016511.444,45.28682,-75.869853,140
EAGLESON RD @ FLEWELLYN RD,13768,0.0307,0,6,2022/07/26 00:00:00+00,355333.6235,5014247.425,45.266369,-75.856036,141
BRIDGESTONE DR @ EAGLESON RD,15620,0.0204,40,31,2022/07/13 00:00:00+00,354872.691,5015403.907,45.276808,-75.861793,142
HUNTSVILLE DR @ TERRY FOX DR,13869,0.0248,28,83,2022/07/13 00:00:00+00,348347.1182,5019895,45.317655,-75.944567,143
ABBOTT ST @ SHEA RD,8924,0.0255,205,450,2022/07/13 00:00:00+00,351158.2914,5014146.616,45.26575,-75.90925,144
STITTSVILLE MAIN ST @ WEST RIDGE DR/PARADE DR,8066,0.0329,62,89,2022/07/26 00:00:00+00,350901.81,5011480.05,45.241772,-75.912766,145
MARKETPLACE AVE @ RIOCAN AVE,10918,0.0284,635,94,2022/07/07 00:00:00+00,364286.8769,5014761.595,45.270295,-75.74189,146
